===== Export Data Var P =====
RobotTypeName : ,VS068A4-AV6-NNN-NNN A
RobotTypeID : ,262244,0
File Version : ,2
[No.],[X],[Y],[Z],[RX],[RY],[RZ],[FIG],[Usage],[Macro]
87,0,0,0,0,0,0,-1 - Undefined,"",
88,0,0,0,0,0,0,-1 - Undefined,"",
89,0,0,0,0,0,0,-1 - Undefined,"",
90,-138.0303,38.15591,625.8102,179.995,2.162058E-02,-50.20186,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"Area Check 0 Def Point 1",
91,50.43743,-111.5774,-.5,179.995,2.162058E-02,-50.20186,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"Area Check 0 Def Point 2",
92,-146.8814,77.16834,257.0833,-179.9838,3.758361E-03,90.66372,1 - Lefty | Above | Flip | J6Single | J4Single | J1Single,"Area Check 1 Def Point 1",
93,162.7197,-127.0569,-20,-179.9841,3.526699E-03,90.73154,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"Area Check 1 Def Point 2",
94,0,0,0,0,0,0,-1 - Undefined,"",
95,0,0,0,0,0,0,-1 - Undefined,"",
96,384.2751,114.8238,-79.13311,-179.9973,-2.152905E-03,6.870946,13 - Lefty | Above | NonFlip | J6Double | J4Single | J1Single,"Work 1 Origin",
97,524.7119,114.8238,-79.13311,-179.9973,-2.152905E-03,6.870946,13 - Lefty | Above | NonFlip | J6Double | J4Single | J1Single,"Work 1 X Vector",
98,524.7119,181.2002,-79.13311,-179.9973,-2.152905E-03,6.870946,13 - Lefty | Above | NonFlip | J6Double | J4Single | J1Single,"Work 1 Y Vector",
99,-391.5545,176.4912,630.0228,180,.01,180,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"Home",
100,0,0,0,0,0,0,-1 - Undefined,"",
101,-113.28,-431.4096,362,-179.9013,0,-69,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"",
102,-366.9,-740.6928,362,-179.9039,0,111,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"",
103,-616.9,-441.123,366,-179.9011,0,-69,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"",
104,-124.6,-759.134,326,-179.9013,0,-69,13 - Lefty | Above | NonFlip | J6Double | J4Single | J1Single,"",
105,-364.8,-420.0798,329,-179.9013,0,111,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"",
106,-602.3,-768.9649,328,-179.9013,0,-69,13 - Lefty | Above | NonFlip | J6Double | J4Single | J1Single,"",
107,0,0,0,0,0,0,-1 - Undefined,"",
108,0,0,0,0,0,0,-1 - Undefined,"",
